Year,Location,D,G,Gold,Silver,Bronze
2014,Innsbruck 16 - 17 May,B,M,Kilian Fischhuber 4t7 4b6,Adam Ondra 4t8 4b6,Rustam Gelmanov 4t14 4b14
2014,Innsbruck 16 - 17 May,B,W,Shauna Coxsey 3t11 3b10,Anna Stöhr 2t6 3b5,Akiyo Noguchi 1t1 2b4
2014,Toronto 31 May - 1 June,B,M,Guillaume Glairon Mondet 3t8 4b16,Jan Hojer 3t9 4b8,Sean McColl 2t2 4b9
2014,Toronto 31 May - 1 June,B,W,Akiyo Noguchi 4t5 4b5,Shauna Coxsey 4t7 4b7,Alex Puccio 4t11 4b11
2014,Vail 6 - 7 June,B,M,Dmitrii Sharafutdinov 4t8 4b5,Guillaume Glairon Mondet 3t6 4b6,Sean McColl 3t12 4b10
2014,Vail 6 - 7 June,B,W,Akiyo Noguchi 4t5 4b5,Fanny Gibert 2t3 4b8,Anna Stöhr 2t5 4b6
2014,Haiyang 20 - 22 June,B,M,Jan Hojer 3t7 4b8,Sean McColl 2t5 3b6,Guillaume Glairon Mondet 0t 2b4
2014,Haiyang 20 - 22 June,B,W,Akiyo Noguchi 2t2 4b6,Shauna Coxsey 2t5 3b5,Anna Stöhr 1t3 2b6
2014,Laval 27 - 28 June,B,M,Rustam Gelmanov 4t8 4b8,Guillaume Glairon Mondet 3t6 3b5,Jeremy Bonder 2t4 2b2
2014,Laval 27 - 28 June,B,W,Akiyo Noguchi 3t4 4b7,Miho Nonaka 3t6 4b10,Juliane Wurm 3t7 4b7
2015,Toronto (30 - 31 May 2015),B,M,Alban Levier 3t6 4b5,Nathaniel Coleman 3t9 4b8,Adam Ondra 2t3 3b3
2015,Toronto (30 - 31 May 2015),B,W,Anna Stöhr 3t6 4b5,Akiyo Noguchi 3t7 4b7,Juliane Wurm 2t2 4b5
2015,Vail (5 - 6 June 2015),B,M,Jan Hojer 3t4 4b4,Nathaniel Coleman 3t4 4b6,Adam Ondra 3t12 4b12
2015,Vail (5 - 6 June 2015),B,W,Megan Mascarenas 3t4 4b5,Akiyo Noguchi 2t4 3b6,Shauna Coxsey 2t4 3b7
2015,Chongqing (20 - 21 June 2015),B,M,Sean McColl 4t12 4b9,Jongwon Chon 3t5 3b3,Tsukuru Hori 3t8 3b8
2015,Chongqing (20 - 21 June 2015),B,W,Akiyo Noguchi 4t5 4b5,Miho Nonaka 3t5 4b4,Shauna Coxsey 3t6 3b5
2015,Haiyang (26 - 27 June 2015),B,M,Jongwon Chon 2t3 2b2,Rustam Gelmanov 2t7 2b6,Alban Levier 1t1 2b2
